Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	selec.file	element	gap	song	Indiv	Source	Country	Location	Coor.Lat	Coor.Long	Date	Entered.by	Comments	Male.ID.comment	ovlp.sels	old.selec	selec.file.1	selec.file.2	sound.files.num	sf.element
11	Spectrogram 1	1	4.531000000	4.674147635	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	4.531	5355.8	10755.2	ARAYA-SAL-019.Table.1.selections.txt	k	0.175649669	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	12	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-k
12	Spectrogram 1	1	4.920000000	5.063147635	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	4.920	7029.9	10092.9	ARAYA-SAL-019.Table.1.selections.txt	l	0.150948935	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	13	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-l
13	Spectrogram 1	1	5.343000000	5.530734603	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	5.343	4380.9	9596.2	ARAYA-SAL-019.Table.1.selections.txt	m	0.203094931	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	14	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-m
14	Spectrogram 1	1	6.191000000	6.312961992	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	6.191	3130.4	9501.1	ARAYA-SAL-019.Table.1.selections.txt	n	0.139728455999999	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	18	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-n
15	Spectrogram 1	1	6.770000000	6.906029251	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	6.770	2087.0	10370.7	ARAYA-SAL-019.Table.1.selections.txt	o	0.15525384	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	19	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-o
16	Spectrogram 1	1	7.708000000	7.874614461	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	7.708	2087.0	10359.7	ARAYA-SAL-019.Table.1.selections.txt	p	0.151372495	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	20	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-p
17	Spectrogram 1	1	7.922000000	8.024487795	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	7.922	5426.1	9711.2	ARAYA-SAL-019.Table.1.selections.txt	q	0.104796342	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	21	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-q
18	Spectrogram 1	1	8.602000000	8.721787335	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	8.602	2555.0	10503.8	ARAYA-SAL-019.Table.1.selections.txt	r	0.112559035	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	22	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-r
19	Spectrogram 1	1	8.763000000	8.903626026	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	8.763	3962.3	9751.0	ARAYA-SAL-019.Table.1.selections.txt	s	0.147491148	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	24	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-s
20	Spectrogram 1	1	9.500000000	9.645494317	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	9.500	4365.5	11158.4	ARAYA-SAL-019.Table.1.selections.txt	f	0.155253841	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	26	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-f
21	Spectrogram 1	1	9.979000000	10.136227730	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	9.979	3537.6	10017.8	ARAYA-SAL-019.Table.1.selections.txt	g	0.159135186	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	27	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-g
22	Spectrogram 1	1	10.467000000	10.600760905	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	10.467	4638.7	9852.3	ARAYA-SAL-019.Table.1.selections.txt	h	0.182423262	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	28	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-h
23	Spectrogram 1	1	10.943000000	11.130734603	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	10.943	3890.8	11070.1	ARAYA-SAL-019.Table.1.selections.txt	i	0.15525384	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	29	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-i
24	Spectrogram 1	1	11.447000000	11.592631018	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	11.447	2734.4	9813.8	ARAYA-SAL-019.Table.1.selections.txt	j	0.13584711	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	30	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-j
25	Spectrogram 1	1	11.650000000	11.777427141	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	11.650	5798.2	10904.6	ARAYA-SAL-019.Table.1.selections.txt	k	0.135847109999998	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	31	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-k
26	Spectrogram 1	1	12.562000000	12.679313875	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	12.562	3547.8	10904.6	ARAYA-SAL-019.Table.1.selections.txt	n	0.143609803	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	32	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-n
27	Spectrogram 1	1	13.118000000	13.276690007	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	13.118	2761.8	10223.7	ARAYA-SAL-019.Table.1.selections.txt	o	0.166897878	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	33	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-o
28	Spectrogram 1	1	13.990000000	14.127540405	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	13.990	2713.1	10138.6	ARAYA-SAL-019.Table.1.selections.txt	p	0.159135186	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	34	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-p
29	Spectrogram 1	1	14.204000000	14.351653670	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	14.204	5157.6	9798.2	ARAYA-SAL-019.Table.1.selections.txt	q	0.159135187	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	35	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-q
30	Spectrogram 1	1	14.921000000	15.028200610	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	14.921	1570.6	10904.6	ARAYA-SAL-019.Table.1.selections.txt	r	0.128084418	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	36	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-r
31	Spectrogram 1	1	15.097000000	15.230495099	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	15.097	3840.7	9372.7	ARAYA-SAL-019.Table.1.selections.txt	s	0.143609803	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	37	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-s
3342	Spectrogram 1	1	33.008000000	33.136119059	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	33.008	4961.0	10158.3		99	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA		vervain_selections_all_files.txt	019.wav	019.wav-99
32	Spectrogram 1	1	35.216000000	35.313087345	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	35.216	3585.4	9457.8	ARAYA-SAL-019.Table.1.selections.txt	r	0.0905993820000006	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	44	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-r
33	Spectrogram 1	1	35.406000000	35.561744282	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	35.406	4290.4	7670.5	ARAYA-SAL-019.Table.1.selections.txt	s	0.176724723	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	53	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-s
34	Spectrogram 1	1	36.235000000	36.381222059	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	36.235	4691.8	10734.4	ARAYA-SAL-019.Table.1.selections.txt	f	0.154354505000001	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	54	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-f
35	Spectrogram 1	1	36.819000000	36.986880200	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	36.819	3840.7	9713.1	ARAYA-SAL-019.Table.1.selections.txt	g	0.187909830999999	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	55	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-g
36	Spectrogram 1	1	37.345000000	37.480517752	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	37.345	5117.3	9798.2	ARAYA-SAL-019.Table.1.selections.txt	h	0.143169395000001	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	56	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-h
37	Spectrogram 1	1	37.869000000	38.026766935	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	37.869	4273.4	9883.3	ARAYA-SAL-019.Table.1.selections.txt	i	0.165539613	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	57	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-i
38	Spectrogram 1	1	38.476000000	38.595336528	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	38.476	4521.6	10223.7	ARAYA-SAL-019.Table.1.selections.txt	j	0.116325133000004	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	58	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-j
39	Spectrogram 1	1	38.638000000	38.737109998	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	38.638	5117.3	9798.2	ARAYA-SAL-019.Table.1.selections.txt	k	0.0984289590000031	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	59	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-k
40	Spectrogram 1	1	39.143000000	39.270427140	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	39.143	6819.5	10138.6	ARAYA-SAL-019.Table.1.selections.txt	l	0.149880460000006	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	60	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-l
41	Spectrogram 1	1	39.559000000	39.714744283	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	39.559	4947.1	9287.6	ARAYA-SAL-019.Table.1.selections.txt	m	0.18567281	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	61	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-m
42	Spectrogram 1	1	40.058000000	40.144820392	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	40.058	5117.3	9542.9	ARAYA-SAL-019.Table.1.selections.txt	n	0.116325134	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	62	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-n
43	Spectrogram 1	1	40.596000000	40.738992369	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	40.596	4351.4	10393.9	ARAYA-SAL-019.Table.1.selections.txt	j	0.164957205	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	76	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-j
44	Spectrogram 1	1	40.985000000	41.100291222	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	40.985	4521.6	9628.0	ARAYA-SAL-019.Table.1.selections.txt	k	0.114499707	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	77	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-k
45	Spectrogram 1	1	41.410000000	41.537840555	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	41.410	4776.9	10138.6	ARAYA-SAL-019.Table.1.selections.txt	f	0.149431821	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	78	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-f
3344	Spectrogram 1	1	41.797000000	41.956115606	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	41.797	4905.8	9716.0		99	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA		vervain_selections_all_files.txt	019.wav	019.wav-99
47	Spectrogram 1	1	42.245000000	42.372427141	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	42.245	5032.2	9713.1	ARAYA-SAL-019.Table.1.selections.txt	d	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	18.516478	-68.379464	11-Jan-18	KK	During bird watching walk first day of course	NA	NA	80	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-d
1165	Spectrogram 1	1	42.603000000	42.754604556	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	42.603	4967.6	10011.1		e	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-e
1166	Spectrogram 1	1	42.946000000	43.101161400	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	42.946	4098.1	9315.5		f	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-f
1154	Spectrogram 1	1	43.310000000	43.470185947	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	43.310	5141.5	9489.4		b	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-b
1155	Spectrogram 1	1	43.719000000	43.859162703	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	43.719	4619.8	9141.5		c	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-c
1204	Spectrogram 1	1	44.343000000	44.449487385	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	44.343	4272.0	9660.7		n	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-n
1205	Spectrogram 1	1	44.956000000	45.100414864	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	44.956	4272.0	10880.7		o	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-o
1187	Spectrogram 1	1	45.980000000	46.102999923	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	45.980	4619.8	9663.3		p	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-p
1188	Spectrogram 1	1	46.172000000	46.323604557	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	46.172	6011.1	9315.5		q	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-q
1189	Spectrogram 1	1	46.851000000	46.968278996	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	46.851	6011.1	10532.9		r	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-r
1190	Spectrogram 1	1	47.026000000	47.180465020	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	47.026	4445.9	7576.3		s	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-s
1191	Spectrogram 1	1	47.471000000	47.639767336	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	47.471	4793.7	9315.5		a	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-a
1193	Spectrogram 1	1	47.848000000	48.016767337	ARAYA-SAL-019.wav	C:\Users\melan\Documents\vervain_recs\converted_sound_files\ARAYA-SAL-019.wav	47.848	5489.4	10358.9		b	NA	NA	1	Own recordins	Dominican Republic	Fundacion Punta Cana	NA	NA				NA	NA	NA	vervain.selections.txt	vervain_selections_all_files.txt	019.wav	019.wav-b
